,회사명,거래소코드,회계년도
616,(주)코리아써키트,7810,2021/12
617,(주)코리아써키트,7810,2022/12
618,(주)코리아써키트,7810,2023/12
619,(주)크래프톤,259960,2020/12
620,(주)크래프톤,259960,2021/12
621,(주)크래프톤,259960,2022/12
622,(주)크래프톤,259960,2023/12
623,(주)키다리스튜디오,20120,2020/12
624,(주)키다리스튜디오,20120,2021/12
625,(주)키다리스튜디오,20120,2022/12
626,(주)키다리스튜디오,20120,2023/12
627,(주)태경비케이,14580,2020/12
628,(주)태경비케이,14580,2021/12
629,(주)태경비케이,14580,2022/12
630,(주)태경비케이,14580,2023/12
631,(주)태영건설,9410,2020/12
632,(주)태영건설,9410,2021/12
633,(주)태영건설,9410,2022/12
634,(주)태영건설,9410,2023/12
635,(주)테이팩스,55490,2020/12
636,(주)테이팩스,55490,2021/12
637,(주)테이팩스,55490,2022/12
638,(주)테이팩스,55490,2023/12
639,(주)티에이치엔,19180,2020/12
640,(주)티에이치엔,19180,2021/12
641,(주)티에이치엔,19180,2022/12
642,(주)티에이치엔,19180,2023/12
643,(주)팜스코,36580,2020/12
644,(주)팜스코,36580,2021/12
645,(주)팜스코,36580,2022/12
646,(주)팜스코,36580,2023/12
647,(주)포스코디엑스,22100,2020/12
648,(주)포스코디엑스,22100,2021/12
649,(주)포스코디엑스,22100,2022/12
650,(주)포스코디엑스,22100,2023/12
651,(주)포스코인터내셔널,47050,2020/12
652,(주)포스코인터내셔널,47050,2021/12
653,(주)포스코인터내셔널,47050,2022/12
654,(주)포스코인터내셔널,47050,2023/12
655,(주)포스코퓨처엠,3670,2020/12
656,(주)포스코퓨처엠,3670,2021/12
657,(주)포스코퓨처엠,3670,2022/12
658,(주)포스코퓨처엠,3670,2023/12
659,(주)풍산,103140,2020/12
660,(주)풍산,103140,2021/12
661,(주)풍산,103140,2022/12
662,(주)풍산,103140,2023/12
663,(주)풍산홀딩스,5810,2020/12
664,(주)풍산홀딩스,5810,2021/12
665,(주)풍산홀딩스,5810,2022/12
666,(주)풍산홀딩스,5810,2023/12
667,(주)플레이그램,9810,2020/12
668,(주)플레이그램,9810,2021/12
669,(주)플레이그램,9810,2022/12
670,(주)플레이그램,9810,2023/12
671,(주)하이브,352820,2020/12
672,(주)하이브,352820,2021/12
673,(주)하이브,352820,2022/12
674,(주)하이브,352820,2023/12
675,(주)하이스틸,71090,2020/12
676,(주)하이스틸,71090,2021/12
677,(주)하이스틸,71090,2022/12
678,(주)하이스틸,71090,2023/12
679,(주)한국전자홀딩스,6200,2020/12
680,(주)한국전자홀딩스,6200,2021/12
681,(주)한국전자홀딩스,6200,2022/12
682,(주)한국전자홀딩스,6200,2023/12
683,(주)한독,2390,2020/12
684,(주)한독,2390,2021/12
685,(주)한독,2390,2022/12
686,(주)한독,2390,2023/12
687,(주)한미글로벌건축사사무소,53690,2020/12
688,(주)한미글로벌건축사사무소,53690,2021/12
689,(주)한미글로벌건축사사무소,53690,2022/12
690,(주)한미글로벌건축사사무소,53690,2023/12
691,(주)한샘,9240,2020/12
692,(주)한샘,9240,2021/12
693,(주)한샘,9240,2022/12
694,(주)한샘,9240,2023/12
695,(주)한섬,20000,2020/12
696,(주)한섬,20000,2021/12
697,(주)한섬,20000,2022/12
698,(주)한섬,20000,2023/12
699,(주)한솔케미칼,14680,2020/12
700,(주)한솔케미칼,14680,2021/12
701,(주)한솔케미칼,14680,2022/12
702,(주)한솔케미칼,14680,2023/12
703,(주)한솔홈데코,25750,2020/12
704,(주)한솔홈데코,25750,2021/12
705,(주)한솔홈데코,25750,2022/12
706,(주)한솔홈데코,25750,2023/12
707,(주)한익스프레스,14130,2020/12
708,(주)한익스프레스,14130,2021/12
709,(주)한익스프레스,14130,2022/12
710,(주)한익스프레스,14130,2023/12
711,(주)한진,2320,2020/12
712,(주)한진,2320,2021/12
713,(주)한진,2320,2022/12
714,(주)한진,2320,2023/12
715,(주)한진중공업홀딩스,3480,2020/12
716,(주)한진중공업홀딩스,3480,2021/12
717,(주)한진중공업홀딩스,3480,2022/12
718,(주)한진중공업홀딩스,3480,2023/12
719,(주)한진칼,180640,2020/12
720,(주)한진칼,180640,2021/12
721,(주)한진칼,180640,2022/12
722,(주)한진칼,180640,2023/12
723,(주)한컴라이프케어,372910,2020/12
724,(주)한컴라이프케어,372910,2021/12
725,(주)한컴라이프케어,372910,2022/12
726,(주)한컴라이프케어,372910,2023/12
727,(주)한화,880,2020/12
728,(주)한화,880,2021/12
729,(주)한화,880,2022/12
730,(주)한화,880,2023/12
731,(주)현대그린푸드,453340,2023/12
732,(주)현대리바트,79430,2020/12
733,(주)현대리바트,79430,2021/12
734,(주)현대리바트,79430,2022/12
735,(주)현대리바트,79430,2023/12
736,(주)현대미포조선,10620,2020/12
737,(주)현대미포조선,10620,2021/12
738,(주)현대미포조선,10620,2022/12
739,(주)현대미포조선,10620,2023/12
740,(주)현대백화점,69960,2020/12
741,(주)현대백화점,69960,2021/12
742,(주)현대백화점,69960,2022/12
743,(주)현대백화점,69960,2023/12
744,(주)현대퓨처넷,126560,2020/12
745,(주)현대퓨처넷,126560,2021/12
746,(주)현대퓨처넷,126560,2022/12
747,(주)현대퓨처넷,126560,2023/12
748,(주)현대홈쇼핑,57050,2020/12
749,(주)현대홈쇼핑,57050,2021/12
750,(주)현대홈쇼핑,57050,2022/12
751,(주)현대홈쇼핑,57050,2023/12
752,(주)호텔신라,8770,2020/12
753,(주)호텔신라,8770,2021/12
754,(주)호텔신라,8770,2022/12
755,(주)호텔신라,8770,2023/12
756,(주)화승알앤에이,378850,2021/12
757,(주)화승알앤에이,378850,2022/12
758,(주)화승알앤에이,378850,2023/12
759,(주)화승엔터프라이즈,241590,2020/12
760,(주)화승엔터프라이즈,241590,2021/12
761,(주)화승엔터프라이즈,241590,2022/12
762,(주)화승엔터프라이즈,241590,2023/12
763,(주)화승인더스트리,6060,2020/12
764,(주)화승인더스트리,6060,2021/12
765,(주)화승인더스트리,6060,2022/12
766,(주)화승인더스트리,6060,2023/12
767,(주)화승코퍼레이션,13520,2020/12
768,(주)화승코퍼레이션,13520,2021/12
769,(주)화승코퍼레이션,13520,2022/12
770,(주)화승코퍼레이션,13520,2023/12
771,(주)화신,10690,2020/12
772,(주)화신,10690,2021/12
773,(주)화신,10690,2022/12
774,(주)화신,10690,2023/12
775,(주)화인베스틸,133820,2023/12
776,(주)황금에스티,32560,2020/12
777,(주)황금에스티,32560,2021/12
778,(주)황금에스티,32560,2022/12
779,(주)황금에스티,32560,2023/12
780,(주)효성,4800,2020/12
781,(주)효성,4800,2021/12
782,(주)효성,4800,2022/12
783,(주)효성,4800,2023/12
784,(주)휠라홀딩스,81660,2020/12
785,(주)휠라홀딩스,81660,2021/12
786,(주)휠라홀딩스,81660,2022/12
787,(주)휠라홀딩스,81660,2023/12
788,(주)휴비스,79980,2020/12
789,(주)휴비스,79980,2021/12
790,(주)휴비스,79980,2022/12
791,(주)휴비스,79980,2023/12
792,AJ네트웍스(주),95570,2020/12
793,AJ네트웍스(주),95570,2021/12
794,AJ네트웍스(주),95570,2022/12
795,AJ네트웍스(주),95570,2023/12
796,HD현대(주),267250,2020/12
797,HD현대(주),267250,2021/12
798,HD현대(주),267250,2022/12
799,HD현대(주),267250,2023/12
800,KG스틸(주),16380,2020/12
801,KG스틸(주),16380,2021/12
802,KG스틸(주),16380,2022/12
803,KG스틸(주),16380,2023/12
804,KISCO홀딩스(주),1940,2020/12
805,KISCO홀딩스(주),1940,2021/12
806,KISCO홀딩스(주),1940,2022/12
807,KISCO홀딩스(주),1940,2023/12
808,LG이노텍(주),11070,2020/12
809,LG이노텍(주),11070,2021/12
810,LG이노텍(주),11070,2022/12
811,LG이노텍(주),11070,2023/12
812,LS일렉트릭(주),10120,2020/12
813,LS일렉트릭(주),10120,2021/12
814,LS일렉트릭(주),10120,2022/12
815,LS일렉트릭(주),10120,2023/12
816,SK이노베이션(주),96770,2020/12
817,SK이노베이션(주),96770,2021/12
818,SK이노베이션(주),96770,2022/12
819,SK이노베이션(주),96770,2023/12
820,SNT다이내믹스(주),3570,2020/12
821,SNT다이내믹스(주),3570,2021/12
822,SNT다이내믹스(주),3570,2022/12
823,SNT다이내믹스(주),3570,2023/12
824,SNT모티브(주),64960,2020/12
825,SNT모티브(주),64960,2021/12
826,SNT모티브(주),64960,2022/12
827,SNT모티브(주),64960,2023/12
828,STX엔진(주),77970,2020/12
829,STX엔진(주),77970,2021/12
830,STX엔진(주),77970,2022/12
831,STX엔진(주),77970,2023/12
832,가온전선(주),500,2020/12
833,가온전선(주),500,2021/12
834,가온전선(주),500,2022/12
835,가온전선(주),500,2023/12
836,경인전자(주),9140,2020/12
837,경인전자(주),9140,2021/12
838,경인전자(주),9140,2022/12
839,경인전자(주),9140,2023/12
840,계룡건설산업(주),13580,2020/12
841,계룡건설산업(주),13580,2021/12
842,계룡건설산업(주),13580,2022/12
843,계룡건설산업(주),13580,2023/12
844,계양전기(주),12200,2020/12
845,계양전기(주),12200,2021/12
846,계양전기(주),12200,2022/12
847,계양전기(주),12200,2023/12
848,고려산업(주),2140,2020/12
849,고려산업(주),2140,2021/12
850,고려산업(주),2140,2022/12
851,고려산업(주),2140,2023/12
852,고려아연(주),10130,2020/12
853,고려아연(주),10130,2021/12
854,고려아연(주),10130,2022/12
855,고려아연(주),10130,2023/12
856,광동제약(주),9290,2020/12
857,광동제약(주),9290,2021/12
858,광동제약(주),9290,2022/12
859,광동제약(주),9290,2023/12
860,광전자(주),17900,2020/12
861,광전자(주),17900,2021/12
862,광전자(주),17900,2022/12
863,광전자(주),17900,2023/12
864,교촌에프앤비(주),339770,2020/12
865,교촌에프앤비(주),339770,2021/12
866,교촌에프앤비(주),339770,2022/12
867,교촌에프앤비(주),339770,2023/12
868,국도화학(주),7690,2020/12
869,국도화학(주),7690,2021/12
870,국도화학(주),7690,2022/12
871,국도화학(주),7690,2023/12
872,국제약품(주),2720,2020/12
873,국제약품(주),2720,2021/12
874,국제약품(주),2720,2022/12
875,국제약품(주),2720,2023/12
876,그랜드코리아레저(주),114090,2020/12
877,그랜드코리아레저(주),114090,2021/12
878,그랜드코리아레저(주),114090,2022/12
879,그랜드코리아레저(주),114090,2023/12
880,금강공업(주),14280,2020/12
881,금강공업(주),14280,2021/12
882,금강공업(주),14280,2022/12
883,금강공업(주),14280,2023/12
884,금호건설(주),2990,2020/12
885,금호건설(주),2990,2021/12
886,금호건설(주),2990,2022/12
887,금호건설(주),2990,2023/12
888,금호석유화학(주),11780,2020/12
889,금호석유화학(주),11780,2021/12
890,금호석유화학(주),11780,2022/12
891,금호석유화학(주),11780,2023/12
892,금호전기(주),1210,2020/12
893,금호전기(주),1210,2021/12
894,금호전기(주),1210,2022/12
895,금호전기(주),1210,2023/12
896,기아(주),270,2020/12
897,기아(주),270,2021/12
898,기아(주),270,2022/12
899,기아(주),270,2023/12
900,나이스평가정보(주),30190,2020/12
901,나이스평가정보(주),30190,2021/12
902,나이스평가정보(주),30190,2022/12
903,나이스평가정보(주),30190,2023/12
904,남광토건(주),1260,2020/12
905,남광토건(주),1260,2021/12
