,회사명,거래소코드,회계년도,유형자산,무형자산,비유동생물자산,기타비유동자산,재고자산,투하자산
251,(주)선진,136490,2023/12,450394658.0,5545389.0,20432738.0,67326913.0,190890682.0,734590380.0
252,(주)성안,11300,2020/12,127762941.0,192295.0,0.0,13256659.0,64836200.0,206048095.0
253,(주)성안,11300,2021/12,63191480.0,10000.0,0.0,12003982.0,26003944.0,101209406.0
254,(주)성안,11300,2022/12,61913011.0,0.0,0.0,6514538.0,22564917.0,90992466.0
255,(주)성안,11300,2023/12,72859822.0,0.0,0.0,23688.0,14439843.0,87323353.0
256,(주)세아베스틸지주,1430,2020/12,1725135921.0,17215254.0,0.0,26673487.0,718499435.0,2487524097.0
257,(주)세아베스틸지주,1430,2021/12,1680963401.0,17297100.0,0.0,28791941.0,1087653786.0,2814706228.0
258,(주)세아베스틸지주,1430,2022/12,1691878640.0,14704448.0,0.0,65425184.0,1119892266.0,2891900538.0
259,(주)세아베스틸지주,1430,2023/12,1652168513.0,41619540.0,0.0,52394118.0,1104871696.0,2851053867.0
260,(주)세아제강지주,3030,2020/12,976831888.0,10284570.0,0.0,22530118.0,457145342.0,1466791918.0
